SpecName	References
Acanthophoenix crinita	"Dransfield et al. 2008; Kew Herbarium"
Acanthophoenix rousselii	"Dransfield et al. 2008; Kew Herbarium"
Acanthophoenix rubra	"Essig et al. 2001; Jones 1995; Kew Herbarium"
Acoelorrhaphe wrightii	"AAU Herbarium; Henderson et al. 1995; Kew Herbarium"
Acrocomia aculeata	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Lorenzi 2010"
Acrocomia crispa	"AAU Herbarium; Henderson et al. 1995; Kew Herbarium"
Acrocomia emensis	Kew Herbarium
Acrocomia glaucescens	Palmpedia
Acrocomia hassleri	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Kew Herbarium; Lorenzi 2010"
Acrocomia intumescens	"Vianna et al. 2017; Palmpedia"
Acrocomia media	Kew Herbarium
Acrocomia totai	"Vianna et al. 2017; Palmpedia"
Actinokentia divaricata	"Henderson 2002; Essig and Hernandez 2002; Hodel and Pintaud 1998; Jones 1995; Kew Herbarium"
Actinokentia huerlimannii	Kew Herbarium
Actinorhytis calapparia	"AAU Herbarium; Essig et al. 1999; Hodel 1998; Jones 1995; Kew Herbarium"
Adonidia maturbongsii	"Kew Herbarium; Palmweb"
Adonidia merrillii	"Dransfield et al. 2008; Kew Herbarium"
Aiphanes acanthophylla	Kew Herbarium
Aiphanes acaulis	"AAU Herbarium; Galeano and Bernal 2010; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes bicornis	Galeano and Bernal 2010
Aiphanes buenaventurae	Palmweb
Aiphanes chiribogensis	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995"
Aiphanes deltoidea	"AAU Herbarium; Galeano and Bernal 2010; Henderson 2002; Henderson et al. 1995"
Aiphanes duquei	"Henderson 2002; Henderson et al. 1995"
Aiphanes eggersii	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes erinacea	"Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995"
Aiphanes gelatinosa	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes graminifolia	"Galeano and Bernal 2010; Palmweb"
Aiphanes grandis	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995"
Aiphanes hirsuta	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes horrida	"AAU Herbarium; Borchsenius et al. 1998; Henderson et al. 1995"
Aiphanes leiostachys	"AAU Herbarium; Henderson 2002; Henderson et al. 1995"
Aiphanes lindeniana	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes linearis	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes macroloba	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes minima	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes multiplex	Bernal & Borchsenius 2010
Aiphanes parvifolia	"Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes pilaris	Galeano and Bernal 2010
Aiphanes simplex	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes spicata	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Kew Herbarium; Palmweb"
Aiphanes stergiosii	Kew Herbarium
Aiphanes tricuspidata	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995"
Aiphanes ulei	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995"
Aiphanes verrucosa	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995; Jones 1995"
Aiphanes weberbaueri	"AAU Herbarium; Borchsenius and Bernal 1996; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995; Jones 1995"
Allagoptera arenaria	"Henderson 2002; Henderson et al. 1995; Jones 1995; Kew Herbarium; Lorenzi 2010"
Allagoptera brevicalyx	"AAU Herbarium; Henderson 2002; Henderson et al. 1995; Jones 1995; Kew Herbarium; Lorenzi 2010"
Allagoptera campestris	"Henderson 2002; Henderson et al. 1995; Jones 1995; Lorenzi 2010"
Allagoptera caudescens	"Henderson et al. 1995; Kew Herbarium; Lorenzi 2010"
Allagoptera leucocalyx	"AAU Herbarium; Henderson et al. 1995; Jones 1995; Lorenzi 2010"
Ammandra decasperma	"AAU Herbarium; Barfod 1991; Borchsenius et al. 1998; Galeano and Bernal 2010; Henderson 2002; Henderson et al. 1995"
Aphandra natalia	"AAU Herbarium; Barfod 1991; Borchsenius et al. 1998; Henderson 2002; Henderson et al. 1995; Kew Herbarium; Lorenzi 2010"
Archontophoenix alexandrae	"Dowe and Hodel 1994; Dowe 2010; Henderson 2002; Jones 1995"
